task,method,metric,value
regression,SGD,interval_coverage,0.642594
regression,PF,interval_coverage,0.888661
regression,PF,spread_trace,3.540272
regression,PF,unique_particles,50.598889
regression,WSPF-A,interval_coverage,0.897054
regression,WSPF-A,spread_trace,2.561817
regression,WSPF-A,unique_particles,42.445333
regression,WSPF-B,interval_coverage,0.888759
regression,WSPF-B,spread_trace,3.170259
regression,WSPF-B,unique_particles,52.249778
email,SGD,brier,0.205202
email,SGD,ece,0.108653
email,PF,brier,0.222822
email,PF,ece,0.144439
email,WSPF-A,brier,0.192516
email,WSPF-A,ece,0.114021
email,WSPF-B,brier,0.180760
email,WSPF-B,ece,0.096892
