method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB
PF,25,None,3.56754,0.469523,25,,,,,,,,,,
PF,50,None,6.2523,0.946327,50,,,,,,,,,,
PF,100,None,11.5298,1.62096,100,,,,,,,,,,
PF,200,None,22.129,3.07059,200,,,,,,,,,,
PF,400,None,42.496,5.90135,400,,,,,,,,,,
WSPF-A,25,None,9.4788,6.21921,400,,,,,,,,,,
WSPF-A,50,None,17.9019,11.99,800,,,,,,,,,,
WSPF-A,100,None,45.2132,31.2803,1600,,,,,,,,,,
WSPF-A,200,None,102.448,71.3415,3200,,,,,,,,,,
WSPF-A,400,None,225.383,153.04,6400,,,,,,,,,,
WSPF-B,25,None,4.90275,1.60959,400,,,,,,,,,,
WSPF-B,50,None,8.83435,3.08956,800,,,,,,,,,,
WSPF-B,100,None,22.0397,8.96888,1600,,,,,,,,,,
WSPF-B,200,None,57.5491,28.8669,3200,,,,,,,,,,
WSPF-B,400,None,128.525,59.2148,6400,,,,,,,,,,
PF,100,None,,,,all,1.08518,,,,,,,,
WSPF-A,100,None,,,,all,4.04276,,,,,,,,
WSPF-B,100,None,,,,all,2.29105,,,,,,,,
PF,100,None,,,,,,peak_mem,4.59325,,,,,,
WSPF-A,100,None,,,,,,peak_mem,39.3265,0.6664,0.6664,10.6624,0.2048,10.6624,22.8624
WSPF-B,100,None,,,,,,peak_mem,34.6585,,,,,,
