method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,25,None,f1,0.791353,0.00309191,0.741324,0.939097,0.100983,9.47185,0.981185,0.594,0.0462963,3.61486
PF,50,None,f1,0.790643,0.00378434,0.733498,0.94784,0.0571075,13.892,0.979,0.606,0.0537037,6.28359
PF,100,None,f1,0.793695,0.00252037,0.741004,0.959848,0.0318365,12.9989,0.977315,0.61695,0.0592593,11.979
PF,200,None,f1,0.79277,0.00257505,0.751194,0.967581,0.0173998,16.2556,0.973278,0.619225,0.0703704,24.2217
PF,400,None,f1,0.793479,0.00262339,0.733251,0.968656,0.0101151,18.1718,0.971514,0.615383,0.0740741,48.6486
WSPF-A,25,None,f1,0.773332,0.0146112,0.0616244,0.152331,0.823178,0.682819,0.10437,0.10437,1,14.6553
WSPF-A,50,None,f1,0.77972,0.010233,0.0348752,0.159497,0.781859,0.748797,0.0744074,0.0744074,1,28.5888
WSPF-A,100,None,f1,0.77038,0.0147517,0.0191718,0.155384,0.75188,0.794692,0.0512222,0.0512222,1,64.1768
WSPF-A,200,None,f1,0.774789,0.0107278,0.00993917,0.143129,0.744316,0.816189,0.0345741,0.0345741,1,123.888
WSPF-A,400,None,f1,0.767424,0.0143888,0.00537254,0.141753,0.722174,0.833194,0.0254444,0.0254444,1,257.579
WSPF-B,25,None,f1,0.81957,0.00839083,0.0463477,0.0496666,0.936758,0.000892186,0.0582963,0.0582963,1,8.26506
WSPF-B,50,None,f1,0.816088,0.00547836,0.0238271,0.0489816,0.924935,0.000928667,0.0332963,0.0332963,1,15.9128
WSPF-B,100,None,f1,0.815769,0.00733458,0.0120058,0.0421566,0.922342,0.00094033,0.0175185,0.0175185,1,39.3884
WSPF-B,200,None,f1,0.81114,0.00802822,0.00613475,0.0416679,0.912771,0.000965077,0.0103241,0.0103241,1,76.6514
WSPF-B,400,None,f1,0.809045,0.0125933,0.00308045,0.0384259,0.912323,0.00096794,0.00591667,0.00591667,1,151.491
