method,zone,sigma_cd,f1_mean,f1_std,ess_over_N,resample_rate,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,None,0.001,0.794025,0.00285781,0.75416,0.0259259,None,None,None,None,None,None,None,None,None,,
PF,None,0.005,0.793695,0.00252037,0.741004,0.0592593,None,None,None,None,None,None,None,None,None,,
PF,None,0.01,0.792865,0.00400632,0.705213,0.101852,None,None,None,None,None,None,None,None,None,,
PF,None,0.025,0.795624,0.00608401,0.663614,0.209259,None,None,None,None,None,None,None,None,None,,
PF,None,0.05,0.773227,0.0126007,0.600032,0.348148,None,None,None,None,None,None,None,None,None,,
PF,None,0.075,0.743955,0.0104095,0.538746,0.440741,None,None,None,None,None,None,None,None,None,,
PF,None,0.1,0.716606,0.0157765,0.47407,0.564815,None,None,None,None,None,None,None,None,None,,
PF,None,0.125,0.694285,0.0192198,0.415858,0.651852,None,None,None,None,None,None,None,None,None,,
PF,None,0.15,0.673748,0.028523,0.359418,0.774074,None,None,None,None,None,None,None,None,None,,
PF,None,0.175,0.656459,0.0296843,0.309524,0.862963,None,None,None,None,None,None,None,None,None,,
PF,None,0.2,0.660668,0.0308352,0.277098,0.925926,None,None,None,None,None,None,None,None,None,,
WSPF-A,None,0.001,0.817644,0.00379212,0.0104532,1,0.99687,0.998564,0.999446,0.999446,1,0.957407,,,0,230,0.0425926
WSPF-A,None,0.005,0.812647,0.00829703,0.0123481,1,0.927998,0.965338,0.986979,0.987001,0.7185,0,,,0,0,0
WSPF-A,None,0.01,0.802965,0.00559463,0.0139164,1,0.77142,0.876681,0.953806,0.954294,0.0720556,0,,,0,0,0
WSPF-A,None,0.025,0.77038,0.0147517,0.0191718,1,0.422534,0.591226,0.816685,0.819911,0,0,,,0,0,0
WSPF-A,None,0.05,0.727715,0.0236605,0.0267499,1,0.175874,0.319337,0.560485,0.591826,0,0,,,0,0,0
WSPF-A,None,0.075,0.683671,0.029237,0.0337985,1,0.0942112,0.206075,0.361244,0.402166,0,0,,,0,0,0
WSPF-A,None,0.1,0.652201,0.0279244,0.0403846,1,0.0630921,0.152634,0.258308,0.290756,0,0,,,0,0,0
WSPF-A,None,0.125,0.636294,0.0448088,0.0506567,1,0.0442837,0.103343,0.197811,0.238477,0,0,,,0,0,0
WSPF-A,None,0.15,0.648514,0.0238765,0.0612877,1,0.0339101,0.083596,0.143641,0.186468,0,0,,,0,0,0
WSPF-A,None,0.175,0.636117,0.0268936,0.0739027,1,0.0269403,0.0611085,0.132965,0.17415,0,0,,,0,0,0
WSPF-A,None,0.2,0.621357,0.0196375,0.0862067,1,0.022544,0.055158,0.105088,0.125682,0,0,,,0,0,0
WSPF-B,None,0.001,0.815769,0.00733458,0.0120058,1,0.99677,0.998535,0.999,0.999,1,0.938889,210,0.0388889,0,,
WSPF-B,None,0.005,0.814519,0.0101063,0.0121803,1,0.925553,0.964678,0.986681,0.986747,0.678,0,0,0,0,,
WSPF-B,None,0.01,0.812474,0.010002,0.0129436,1,0.764929,0.87384,0.951311,0.951438,0.0654259,0,0,0,0,,
WSPF-B,None,0.025,0.789975,0.00980701,0.0200275,0.998148,0.379558,0.557873,0.800318,0.80321,0,0,0,0,0,,
WSPF-B,None,0.05,0.761811,0.0184337,0.0495565,0.992593,0.148638,0.277895,0.512359,0.536718,0,0,0,0,0,,
WSPF-B,None,0.075,0.729364,0.0227409,0.0827517,0.988889,0.0802227,0.169292,0.331502,0.362173,0,0,0,0,0,,
WSPF-B,None,0.1,0.717305,0.0264653,0.114544,0.981481,0.0490691,0.109252,0.215822,0.24728,0,0,0,0,0,,
WSPF-B,None,0.125,0.699163,0.0238939,0.136524,0.975926,0.0357784,0.0736231,0.151344,0.18998,0,0,0,0,0,,
WSPF-B,None,0.15,0.693275,0.019948,0.150938,0.972222,0.0273029,0.0589385,0.113484,0.148939,0,0,0,0,0,,
WSPF-B,None,0.175,0.676936,0.0266845,0.148093,0.97037,0.022288,0.0489248,0.0859464,0.126015,0,0,0,0,0,,
WSPF-B,None,0.2,0.664926,0.0331612,0.152526,0.987037,0.0180512,0.0378289,0.0699002,0.0934567,0,0,0,0,0,,
