method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB
PF,25,None,3.65287,0.485439,25,,,,,,,,,,
PF,50,None,6.33107,0.919211,50,,,,,,,,,,
PF,100,None,11.7307,1.66666,100,,,,,,,,,,
PF,200,None,22.3152,3.15907,200,,,,,,,,,,
PF,400,None,42.4455,6.05361,400,,,,,,,,,,
WSPF-A,25,None,9.71789,6.30291,400,,,,,,,,,,
WSPF-A,50,None,18.2652,12.1393,800,,,,,,,,,,
WSPF-A,100,None,45.9085,31.5765,1600,,,,,,,,,,
WSPF-A,200,None,106.037,73.5506,3200,,,,,,,,,,
WSPF-A,400,None,236.755,159.701,6400,,,,,,,,,,
WSPF-B,25,None,5.09848,1.62818,400,,,,,,,,,,
WSPF-B,50,None,9.27141,3.23869,800,,,,,,,,,,
WSPF-B,100,None,25.896,11.2306,1600,,,,,,,,,,
WSPF-B,200,None,61.2101,30.7149,3200,,,,,,,,,,
WSPF-B,400,None,137.064,62.9497,6400,,,,,,,,,,
PF,100,None,,,,all,1.08854,,,,,,,,
WSPF-A,100,None,,,,all,4.13985,,,,,,,,
WSPF-B,100,None,,,,all,2.10481,,,,,,,,
PF,100,None,,,,,,peak_mem,4.60816,,,,,,
WSPF-A,100,None,,,,,,peak_mem,39.3468,0.6664,0.6664,10.6624,0.2048,10.6624,22.8624
WSPF-B,100,None,,,,,,peak_mem,34.6762,,,,,,
