method,N,zone,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p
SGD,100,None,performance,f1,0.78835,0.00528018,10,,,,
PH-SGD,100,None,performance,f1,0.783145,0.019097,10,,,,
Window-SGD,100,None,performance,f1,0.765226,0.0130731,10,,,,
PF,100,None,performance,f1,0.793695,0.00252037,10,,,,
PF,100,None,diagnostic,ess_over_N,0.741004,0.0383294,10,,,,
PF,100,None,diagnostic,weight_entropy,4.42026,0.0320713,10,,,,
PF,100,None,diagnostic,max_weight,0.0318365,0.00302184,10,,,,
PF,100,None,diagnostic,particle_spread,12.9989,4.9325,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_all,0.977315,0.00634958,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_resampled,0.61695,0.0161916,10,,,,
PF,100,None,diagnostic,resample_rate,0.0592593,0.0161441,10,,,,
WSPF-A,100,None,performance,f1,0.583772,0.0372415,10,,,,
WSPF-A,100,None,diagnostic,ess_over_N,0.126016,0.0111854,10,,,,
WSPF-A,100,None,diagnostic,weight_entropy,2.80176,0.0843,10,,,,
WSPF-A,100,None,diagnostic,max_weight,0.283159,0.0166988,10,,,,
WSPF-A,100,None,diagnostic,particle_spread,131.495,9.67902,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_all,0.311926,0.0160356,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_resampled,0.311926,0.0160356,10,,,,
WSPF-A,100,None,diagnostic,resample_rate,1,0,10,,,,
WSPF-B,100,None,performance,f1,0.58134,0.0314629,10,,,,
WSPF-B,100,None,diagnostic,ess_over_N,0.119387,0.014282,10,,,,
WSPF-B,100,None,diagnostic,weight_entropy,2.75284,0.13067,10,,,,
WSPF-B,100,None,diagnostic,max_weight,0.264729,0.0287248,10,,,,
WSPF-B,100,None,diagnostic,particle_spread,102.364,8.83428,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_all,0.283593,0.0207847,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_resampled,0.283593,0.0207847,10,,,,
WSPF-B,100,None,diagnostic,resample_rate,1,0,10,,,,
PF-S,100,None,performance,f1,0.790413,0.0284179,10,,,,
PF-S,100,None,diagnostic,ess_over_N,0.463181,0.0121321,10,,,,
PF-S,100,None,diagnostic,weight_entropy,3.95816,0.0508998,10,,,,
PF-S,100,None,diagnostic,max_weight,0.0858602,0.0146588,10,,,,
PF-S,100,None,diagnostic,particle_spread,8.78022,4.03288,10,,,,
PF-S,100,None,diagnostic,unique_ancestor_rate_all,0.692167,0.0135558,10,,,,
PF-S,100,None,diagnostic,unique_ancestor_rate_resampled,0.479012,0.0131136,10,,,,
PF-S,100,None,diagnostic,resample_rate,0.590741,0.0174703,10,,,,
WSPF-A_vs_PF,100,None,paired,f1_paired,,,,-0.209923,0.0407334,5.47847e-08,0.00195312
WSPF-B_vs_PF,100,None,paired,f1_paired,,,,-0.212355,0.0329304,7.64935e-09,0.00195312
