method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,25,None,f1,0.791353,0.00309191,0.741324,0.939097,0.100983,9.47185,0.981185,0.594,0.0462963,3.68759
PF,50,None,f1,0.790643,0.00378434,0.733498,0.94784,0.0571075,13.892,0.979,0.606,0.0537037,6.37504
PF,100,None,f1,0.793695,0.00252037,0.741004,0.959848,0.0318365,12.9989,0.977315,0.61695,0.0592593,12.09
PF,200,None,f1,0.79277,0.00257505,0.751194,0.967581,0.0173998,16.2556,0.973278,0.619225,0.0703704,24.3693
PF,400,None,f1,0.793479,0.00262339,0.733251,0.968656,0.0101151,18.1718,0.971514,0.615383,0.0740741,48.991
WSPF-A,25,None,f1,0.542888,0.0151631,0.198078,0.555195,0.434522,93.6932,0.349259,0.339509,0.985185,14.4723
WSPF-A,50,None,f1,0.591333,0.0465306,0.153964,0.573589,0.366007,109.202,0.32037,0.317898,0.996296,29.3121
WSPF-A,100,None,f1,0.583772,0.0372415,0.126016,0.608395,0.283159,131.495,0.311926,0.311926,1,57.4818
WSPF-A,200,None,f1,0.609436,0.0329746,0.0992966,0.628943,0.23145,149.403,0.297481,0.297481,1,129.051
WSPF-A,400,None,f1,0.608331,0.0347996,0.0775774,0.633358,0.204019,174.269,0.278741,0.278741,1,264.582
WSPF-B,25,None,f1,0.513615,0.0526515,0.175236,0.515839,0.443987,72.7552,0.306741,0.306741,1,8.12666
WSPF-B,50,None,f1,0.561439,0.0332615,0.142938,0.565033,0.34381,87.7124,0.298296,0.298296,1,16.5385
WSPF-B,100,None,f1,0.58134,0.0314629,0.119387,0.597772,0.264729,102.364,0.283593,0.283593,1,32.4425
WSPF-B,200,None,f1,0.586961,0.0372185,0.0937649,0.61099,0.214758,122.567,0.262102,0.262102,1,75.5955
WSPF-B,400,None,f1,0.600172,0.0354086,0.0908809,0.65524,0.149501,142.74,0.267023,0.267023,1,159.833
