method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB
PF,25,1,4.75193,0.581272,25,,,,,,,,,,
PF,50,1,8.36511,1.06524,50,,,,,,,,,,
PF,100,1,15.6187,1.9601,100,,,,,,,,,,
PF,200,1,29.8151,3.71426,200,,,,,,,,,,
PF,400,1,60.0013,7.25774,400,,,,,,,,,,
WSPF-A,25,1,11.7195,7.4972,400,,,,,,,,,,
WSPF-A,50,1,23.6273,15.3343,800,,,,,,,,,,
WSPF-A,100,1,58.5891,39.8774,1600,,,,,,,,,,
WSPF-A,200,1,132.005,88.7617,3200,,,,,,,,,,
WSPF-A,400,1,285.948,190.034,6400,,,,,,,,,,
WSPF-B,25,1,6.19238,1.90046,400,,,,,,,,,,
WSPF-B,50,1,12.0831,3.99437,800,,,,,,,,,,
WSPF-B,100,1,30.5102,12.1049,1600,,,,,,,,,,
WSPF-B,200,1,76.5322,35.8554,3200,,,,,,,,,,
WSPF-B,400,1,166.218,73.2574,6400,,,,,,,,,,
PF,100,1,,,,500,7.80745,,,,,,,,
PF,100,1,,,,1000,8.0118,,,,,,,,
PF,100,1,,,,2000,8.0118,,,,,,,,
PF,100,1,,,,all,8.0118,,,,,,,,
WSPF-A,100,1,,,,500,28.1713,,,,,,,,
WSPF-A,100,1,,,,1000,28.9039,,,,,,,,
WSPF-A,100,1,,,,2000,28.9039,,,,,,,,
WSPF-A,100,1,,,,all,28.9039,,,,,,,,
WSPF-B,100,1,,,,500,15.2388,,,,,,,,
WSPF-B,100,1,,,,1000,15.6376,,,,,,,,
WSPF-B,100,1,,,,2000,15.6376,,,,,,,,
WSPF-B,100,1,,,,all,15.6376,,,,,,,,
PF,100,1,,,,,,peak_mem,7.17769,,,,,,
WSPF-A,100,1,,,,,,peak_mem,48.154,0.82,0.82,13.12,0.2048,13.12,28.0848
WSPF-B,100,1,,,,,,peak_mem,42.5664,,,,,,
