zone,seed,method,mse,mae
1,0,SGD,0.021168,0.109653
1,1,SGD,0.021363,0.111654
1,2,SGD,0.019872,0.105871
1,3,SGD,0.021864,0.112118
1,4,SGD,0.020864,0.109752
1,5,SGD,0.021195,0.109692
1,6,SGD,0.020934,0.108292
1,7,SGD,0.020970,0.109453
1,8,SGD,0.021054,0.109608
1,9,SGD,0.019956,0.105491
1,0,PF,0.020941,0.109645
1,1,PF,0.020018,0.106477
1,2,PF,0.020230,0.106046
1,3,PF,0.019813,0.106236
1,4,PF,0.019658,0.104843
1,5,PF,0.021101,0.109718
1,6,PF,0.020446,0.107381
1,7,PF,0.019953,0.105353
1,8,PF,0.019458,0.104220
1,9,PF,0.020545,0.108414
1,0,WSPF-A,0.019125,0.105646
1,1,WSPF-A,0.017404,0.099808
1,2,WSPF-A,0.019363,0.106968
1,3,WSPF-A,0.018033,0.101958
1,4,WSPF-A,0.018117,0.103462
1,5,WSPF-A,0.018632,0.104228
1,6,WSPF-A,0.017526,0.100880
1,7,WSPF-A,0.017711,0.101627
1,8,WSPF-A,0.018175,0.102871
1,9,WSPF-A,0.018737,0.104206
1,0,WSPF-B,0.022363,0.113417
1,1,WSPF-B,0.023395,0.115740
1,2,WSPF-B,0.021637,0.110993
1,3,WSPF-B,0.022821,0.115333
1,4,WSPF-B,0.023025,0.115839
1,5,WSPF-B,0.022446,0.112157
1,6,WSPF-B,0.022279,0.113016
1,7,WSPF-B,0.021308,0.109762
1,8,WSPF-B,0.022405,0.113047
1,9,WSPF-B,0.022659,0.114506
2,0,SGD,0.024122,0.117039
2,1,SGD,0.023042,0.113939
2,2,SGD,0.022928,0.114542
2,3,SGD,0.023853,0.116148
2,4,SGD,0.022445,0.111382
2,5,SGD,0.024476,0.118135
2,6,SGD,0.024340,0.116984
2,7,SGD,0.023927,0.115650
2,8,SGD,0.023708,0.116309
2,9,SGD,0.023174,0.114069
2,0,PF,0.022405,0.112211
2,1,PF,0.021530,0.109847
2,2,PF,0.022554,0.112909
2,3,PF,0.022808,0.113111
2,4,PF,0.023685,0.115423
2,5,PF,0.021740,0.109571
2,6,PF,0.024122,0.117582
2,7,PF,0.021979,0.111043
2,8,PF,0.023627,0.116097
2,9,PF,0.023544,0.115466
2,0,WSPF-A,0.021141,0.110437
2,1,WSPF-A,0.021069,0.109690
2,2,WSPF-A,0.020808,0.109420
2,3,WSPF-A,0.020129,0.107264
2,4,WSPF-A,0.020581,0.107347
2,5,WSPF-A,0.020059,0.106832
2,6,WSPF-A,0.022235,0.112589
2,7,WSPF-A,0.019528,0.104089
2,8,WSPF-A,0.020492,0.108338
2,9,WSPF-A,0.020668,0.108784
2,0,WSPF-B,0.023807,0.116918
2,1,WSPF-B,0.027578,0.125037
2,2,WSPF-B,0.024421,0.117233
2,3,WSPF-B,0.027662,0.126008
2,4,WSPF-B,0.028361,0.127446
2,5,WSPF-B,0.026045,0.121363
2,6,WSPF-B,0.026007,0.121172
2,7,WSPF-B,0.025632,0.120401
2,8,WSPF-B,0.025586,0.121134
2,9,WSPF-B,0.025581,0.120981
3,0,SGD,0.021739,0.110616
3,1,SGD,0.021766,0.110216
3,2,SGD,0.021633,0.109830
3,3,SGD,0.022581,0.112742
3,4,SGD,0.021246,0.108995
3,5,SGD,0.021944,0.110740
3,6,SGD,0.022454,0.112054
3,7,SGD,0.022548,0.112733
3,8,SGD,0.021402,0.109493
3,9,SGD,0.021107,0.107992
3,0,PF,0.021494,0.109576
3,1,PF,0.021560,0.110116
3,2,PF,0.021000,0.108749
3,3,PF,0.021793,0.110730
3,4,PF,0.021942,0.111291
3,5,PF,0.021205,0.108366
3,6,PF,0.021584,0.110023
3,7,PF,0.021129,0.108628
3,8,PF,0.021553,0.110237
3,9,PF,0.021029,0.109063
3,0,WSPF-A,0.018352,0.102273
3,1,WSPF-A,0.018585,0.102502
3,2,WSPF-A,0.018899,0.102276
3,3,WSPF-A,0.018364,0.099647
3,4,WSPF-A,0.018920,0.103762
3,5,WSPF-A,0.019153,0.103672
3,6,WSPF-A,0.018230,0.101827
3,7,WSPF-A,0.019591,0.104160
3,8,WSPF-A,0.017714,0.099336
3,9,WSPF-A,0.017965,0.100660
3,0,WSPF-B,0.023870,0.116223
3,1,WSPF-B,0.023651,0.115484
3,2,WSPF-B,0.022847,0.113242
3,3,WSPF-B,0.025581,0.120589
3,4,WSPF-B,0.025561,0.121821
3,5,WSPF-B,0.025127,0.119926
3,6,WSPF-B,0.026666,0.123714
3,7,WSPF-B,0.024337,0.117663
3,8,WSPF-B,0.024220,0.117623
3,9,WSPF-B,0.025091,0.119682
