method,N,zone,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p
SGD,100,1,performance,mse,0.0187589,0.000202852,10,,,,
PH-SGD,100,1,performance,mse,0.0187589,0.000202852,10,,,,
Window-SGD,100,1,performance,mse,0.0172302,7.65714e-05,10,,,,
PF,100,1,performance,mse,0.0233559,0.0012433,10,,,,
PF,100,1,diagnostic,ess_over_N,0.563167,0.00844913,10,,,,
PF,100,1,diagnostic,weight_entropy,4.19772,0.0128817,10,,,,
PF,100,1,diagnostic,max_weight,0.0465318,0.00084182,10,,,,
PF,100,1,diagnostic,particle_spread,5.0976,0.709107,10,,,,
PF,100,1,diagnostic,unique_ancestor_rate_all,0.824583,0.0110221,10,,,,
PF,100,1,diagnostic,unique_ancestor_rate_resampled,0.54358,0.00459843,10,,,,
PF,100,1,diagnostic,resample_rate,0.384171,0.021125,10,,,,
WSPF-A,100,1,performance,mse,0.0310826,0.00247935,10,,,,
WSPF-A,100,1,diagnostic,ess_over_N,0.27771,0.0103466,10,,,,
WSPF-A,100,1,diagnostic,weight_entropy,3.71584,0.034771,10,,,,
WSPF-A,100,1,diagnostic,max_weight,0.135011,0.00692557,10,,,,
WSPF-A,100,1,diagnostic,particle_spread,1.26124,0.106456,10,,,,
WSPF-A,100,1,diagnostic,unique_ancestor_rate_all,0.51809,0.0101852,10,,,,
WSPF-A,100,1,diagnostic,unique_ancestor_rate_resampled,0.491695,0.00611213,10,,,,
WSPF-A,100,1,diagnostic,resample_rate,0.94799,0.0107219,10,,,,
WSPF-B,100,1,performance,mse,0.0252656,0.00209883,10,,,,
WSPF-B,100,1,diagnostic,ess_over_N,0.455488,0.0199749,10,,,,
WSPF-B,100,1,diagnostic,weight_entropy,3.96559,0.0583626,10,,,,
WSPF-B,100,1,diagnostic,max_weight,0.0766559,0.00811659,10,,,,
WSPF-B,100,1,diagnostic,particle_spread,1.68335,0.221929,10,,,,
WSPF-B,100,1,diagnostic,unique_ancestor_rate_all,0.696505,0.0275538,10,,,,
WSPF-B,100,1,diagnostic,unique_ancestor_rate_resampled,0.482044,0.0120272,10,,,,
WSPF-B,100,1,diagnostic,resample_rate,0.585176,0.04117,10,,,,
WSPF-A_vs_PF,100,1,paired,mse_paired,,,,0.00772678,0.00363888,8.70618e-05,0.00195312
WSPF-B_vs_PF,100,1,paired,mse_paired,,,,0.00190973,0.00281143,0.0602268,0.0839844
SGD,100,2,performance,mse,0.0202574,0.000298263,10,,,,
PH-SGD,100,2,performance,mse,0.0202574,0.000298263,10,,,,
Window-SGD,100,2,performance,mse,0.0187379,9.36241e-05,10,,,,
PF,100,2,performance,mse,0.0249944,0.00111855,10,,,,
PF,100,2,diagnostic,ess_over_N,0.548316,0.0104022,10,,,,
PF,100,2,diagnostic,weight_entropy,4.17239,0.0179216,10,,,,
PF,100,2,diagnostic,max_weight,0.0484872,0.00131473,10,,,,
PF,100,2,diagnostic,particle_spread,4.12632,0.499814,10,,,,
PF,100,2,diagnostic,unique_ancestor_rate_all,0.805936,0.0127521,10,,,,
PF,100,2,diagnostic,unique_ancestor_rate_resampled,0.536584,0.00701615,10,,,,
PF,100,2,diagnostic,resample_rate,0.418493,0.0223243,10,,,,
WSPF-A,100,2,performance,mse,0.034856,0.00312662,10,,,,
WSPF-A,100,2,diagnostic,ess_over_N,0.251633,0.00950974,10,,,,
WSPF-A,100,2,diagnostic,weight_entropy,3.64622,0.0404203,10,,,,
WSPF-A,100,2,diagnostic,max_weight,0.148611,0.00827762,10,,,,
WSPF-A,100,2,diagnostic,particle_spread,1.14726,0.0933612,10,,,,
WSPF-A,100,2,diagnostic,unique_ancestor_rate_all,0.49184,0.0109916,10,,,,
WSPF-A,100,2,diagnostic,unique_ancestor_rate_resampled,0.479631,0.00797208,10,,,,
WSPF-A,100,2,diagnostic,resample_rate,0.976484,0.0105641,10,,,,
WSPF-B,100,2,performance,mse,0.0295766,0.00140472,10,,,,
WSPF-B,100,2,diagnostic,ess_over_N,0.40261,0.0172946,10,,,,
WSPF-B,100,2,diagnostic,weight_entropy,3.83161,0.047141,10,,,,
WSPF-B,100,2,diagnostic,max_weight,0.0933328,0.0066193,10,,,,
WSPF-B,100,2,diagnostic,particle_spread,1.25404,0.0924705,10,,,,
WSPF-B,100,2,diagnostic,unique_ancestor_rate_all,0.629514,0.0218638,10,,,,
WSPF-B,100,2,diagnostic,unique_ancestor_rate_resampled,0.457257,0.0101857,10,,,,
WSPF-B,100,2,diagnostic,resample_rate,0.682192,0.0297295,10,,,,
WSPF-A_vs_PF,100,2,paired,mse_paired,,,,0.00986161,0.00340369,7.37596e-06,0.00195312
WSPF-B_vs_PF,100,2,paired,mse_paired,,,,0.00458227,0.00196863,4.27844e-05,0.00195312
SGD,100,3,performance,mse,0.0179066,0.000133817,10,,,,
PH-SGD,100,3,performance,mse,0.0179066,0.000133817,10,,,,
Window-SGD,100,3,performance,mse,0.017696,3.52188e-05,10,,,,
PF,100,3,performance,mse,0.0229206,0.00129233,10,,,,
PF,100,3,diagnostic,ess_over_N,0.586017,0.0094263,10,,,,
PF,100,3,diagnostic,weight_entropy,4.23445,0.0134285,10,,,,
PF,100,3,diagnostic,max_weight,0.0443256,0.00117768,10,,,,
PF,100,3,diagnostic,particle_spread,5.12191,0.666019,10,,,,
PF,100,3,diagnostic,unique_ancestor_rate_all,0.849105,0.00915013,10,,,,
PF,100,3,diagnostic,unique_ancestor_rate_resampled,0.556933,0.00547345,10,,,,
PF,100,3,diagnostic,resample_rate,0.340411,0.0174011,10,,,,
WSPF-A,100,3,performance,mse,0.0359118,0.00282203,10,,,,
WSPF-A,100,3,diagnostic,ess_over_N,0.265169,0.00670838,10,,,,
WSPF-A,100,3,diagnostic,weight_entropy,3.68008,0.0200194,10,,,,
WSPF-A,100,3,diagnostic,max_weight,0.142347,0.00487253,10,,,,
WSPF-A,100,3,diagnostic,particle_spread,1.28283,0.152658,10,,,,
WSPF-A,100,3,diagnostic,unique_ancestor_rate_all,0.50608,0.0078228,10,,,,
WSPF-A,100,3,diagnostic,unique_ancestor_rate_resampled,0.485161,0.00413333,10,,,,
WSPF-A,100,3,diagnostic,resample_rate,0.959361,0.0126213,10,,,,
WSPF-B,100,3,performance,mse,0.0265673,0.0014846,10,,,,
WSPF-B,100,3,diagnostic,ess_over_N,0.464342,0.00997632,10,,,,
WSPF-B,100,3,diagnostic,weight_entropy,3.99266,0.028496,10,,,,
WSPF-B,100,3,diagnostic,max_weight,0.0735027,0.00403181,10,,,,
WSPF-B,100,3,diagnostic,particle_spread,1.69111,0.110514,10,,,,
WSPF-B,100,3,diagnostic,unique_ancestor_rate_all,0.707326,0.0125484,10,,,,
WSPF-B,100,3,diagnostic,unique_ancestor_rate_resampled,0.491655,0.00749331,10,,,,
WSPF-B,100,3,diagnostic,resample_rate,0.575571,0.0186447,10,,,,
WSPF-A_vs_PF,100,3,paired,mse_paired,,,,0.0129912,0.00343248,7.87388e-07,0.00195312
WSPF-B_vs_PF,100,3,paired,mse_paired,,,,0.00364673,0.00231392,0.00075556,0.00195312
