shared_from,method,zone,metric,mean,std
PF,PF,1,mse,0.0233559,0.0012433
PF,WSPF-A,1,mse,0.0388409,0.00573081
PF,WSPF-B,1,mse,0.0252656,0.00209883
WSPF-A,PF,1,mse,0.0236403,0.00138584
WSPF-A,WSPF-A,1,mse,0.0310826,0.00247935
WSPF-A,WSPF-B,1,mse,0.0253922,0.00247283
WSPF-B,PF,1,mse,0.0233559,0.0012433
WSPF-B,WSPF-A,1,mse,0.0388409,0.00573081
WSPF-B,WSPF-B,1,mse,0.0252656,0.00209883
PF,PF,2,mse,0.0249944,0.00111855
PF,WSPF-A,2,mse,0.0409811,0.002131
PF,WSPF-B,2,mse,0.0295766,0.00140472
WSPF-A,PF,2,mse,0.0267087,0.00175432
WSPF-A,WSPF-A,2,mse,0.034856,0.00312662
WSPF-A,WSPF-B,2,mse,0.027384,0.00112806
WSPF-B,PF,2,mse,0.0249944,0.00111855
WSPF-B,WSPF-A,2,mse,0.0409811,0.002131
WSPF-B,WSPF-B,2,mse,0.0295766,0.00140472
PF,PF,3,mse,0.0229206,0.00129233
PF,WSPF-A,3,mse,0.0411673,0.00231903
PF,WSPF-B,3,mse,0.0265673,0.0014846
WSPF-A,PF,3,mse,0.0253992,0.00120975
WSPF-A,WSPF-A,3,mse,0.0359118,0.00282203
WSPF-A,WSPF-B,3,mse,0.0248925,0.00103472
WSPF-B,PF,3,mse,0.0229206,0.00129233
WSPF-B,WSPF-A,3,mse,0.0411673,0.00231903
WSPF-B,WSPF-B,3,mse,0.0265673,0.0014846
