method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,25,1,mse,0.0286616,0.00218661,0.578394,0.875106,0.143851,2.33834,0.831407,0.532352,0.359799,4.84264
PF,50,1,mse,0.0259645,0.00140291,0.562776,0.893872,0.0834106,3.37097,0.821688,0.534825,0.382915,8.53555
PF,100,1,mse,0.0233559,0.0012433,0.563167,0.911524,0.0465318,5.0976,0.824583,0.54358,0.384171,17.0709
PF,200,1,mse,0.0206585,0.000825186,0.572084,0.926312,0.0250623,6.47128,0.834209,0.552255,0.370101,34.8911
PF,400,1,mse,0.0196211,0.000588758,0.576358,0.936173,0.0135932,8.3246,0.838942,0.554947,0.361809,71.568
WSPF-A,25,1,mse,0.0398431,0.00476251,0.343705,0.748749,0.277031,0.660156,0.562965,0.47854,0.83794,17.2068
WSPF-A,50,1,mse,0.0350553,0.00367898,0.303555,0.779138,0.197412,0.935506,0.533487,0.486149,0.907538,34.569
WSPF-A,100,1,mse,0.0310826,0.00247935,0.27771,0.806884,0.135011,1.26124,0.51809,0.491695,0.94799,77.0042
WSPF-A,200,1,mse,0.0272671,0.00179288,0.25545,0.827222,0.0958889,1.70997,0.510394,0.493102,0.965829,142.151
WSPF-A,400,1,mse,0.025369,0.00214721,0.234374,0.843117,0.06662,2.36091,0.501343,0.491176,0.979899,321.991
WSPF-B,25,1,mse,0.0339013,0.00273136,0.452626,0.7887,0.219166,0.790655,0.677518,0.454401,0.590452,10.1869
WSPF-B,50,1,mse,0.028911,0.00317897,0.45732,0.835149,0.128817,1.23129,0.692226,0.476025,0.586181,26.2779
WSPF-B,100,1,mse,0.0252656,0.00209883,0.455488,0.861118,0.0766559,1.68335,0.696505,0.482044,0.585176,50.5197
WSPF-B,200,1,mse,0.0236342,0.00123968,0.454172,0.881509,0.0444196,2.22661,0.699068,0.490777,0.590452,87.1662
WSPF-B,400,1,mse,0.0214525,0.00061703,0.473469,0.903634,0.0238399,3.03029,0.724536,0.502874,0.55402,198.507
PF,25,2,mse,0.032919,0.00387316,0.545729,0.856812,0.155033,1.96139,0.795589,0.513035,0.418493,4.85419
PF,50,2,mse,0.0288107,0.00144205,0.548703,0.887957,0.0870342,3.11631,0.802242,0.53152,0.421918,8.56199
PF,100,2,mse,0.0249944,0.00111855,0.548316,0.906024,0.0484872,4.12632,0.805936,0.536584,0.418493,17.1
PF,200,2,mse,0.0230891,0.0007964,0.551319,0.919772,0.0264709,5.61306,0.80903,0.542005,0.416895,34.8754
PF,400,2,mse,0.0210029,0.00056555,0.56254,0.93289,0.0140935,7.73515,0.824606,0.551716,0.391096,72.0849
WSPF-A,25,2,mse,0.045159,0.00365464,0.32491,0.734179,0.293381,0.598653,0.540721,0.471536,0.869178,17.3278
WSPF-A,50,2,mse,0.0399141,0.00269181,0.279273,0.762622,0.213606,0.82676,0.505338,0.475702,0.943379,34.4842
WSPF-A,100,2,mse,0.034856,0.00312662,0.251633,0.791767,0.148611,1.14726,0.49184,0.479631,0.976484,79.3013
WSPF-A,200,2,mse,0.0308817,0.00261633,0.231154,0.815556,0.104246,1.55577,0.488098,0.481636,0.987443,149.13
WSPF-A,400,2,mse,0.0288333,0.00209009,0.208757,0.829782,0.074147,2.23858,0.478695,0.475263,0.993379,319.982
WSPF-B,25,2,mse,0.0372367,0.00248169,0.420403,0.766273,0.237319,0.666374,0.637863,0.444921,0.652055,10.2855
WSPF-B,50,2,mse,0.0310173,0.00210302,0.428251,0.817171,0.141271,1.01943,0.65679,0.463112,0.638813,26.3481
WSPF-B,100,2,mse,0.0295766,0.00140472,0.40261,0.832024,0.0933328,1.25404,0.629514,0.457257,0.682192,50.7663
WSPF-B,200,2,mse,0.025965,0.00146046,0.415082,0.863325,0.0536962,1.80238,0.65028,0.473004,0.663242,86.7716
WSPF-B,400,2,mse,0.0234899,0.000787395,0.42829,0.886377,0.0288846,2.39943,0.671977,0.481741,0.632877,195.756
PF,25,3,mse,0.0302726,0.00222632,0.587576,0.880421,0.140883,2.54295,0.845461,0.537594,0.33379,4.84389
PF,50,3,mse,0.0254648,0.00129199,0.582728,0.902466,0.0801073,3.59143,0.844836,0.550449,0.344977,8.56003
PF,100,3,mse,0.0229206,0.00129233,0.586017,0.9195,0.0443256,5.12191,0.849105,0.556933,0.340411,17.0383
PF,200,3,mse,0.021089,0.000583114,0.586266,0.930705,0.0244195,7.23907,0.847066,0.563332,0.350228,34.7754
PF,400,3,mse,0.0199959,0.000285889,0.593176,0.94049,0.0130791,8.24189,0.856032,0.566647,0.332192,71.7494
WSPF-A,25,3,mse,0.0429304,0.00278994,0.344213,0.751141,0.275278,0.661863,0.565525,0.480355,0.836073,17.3444
WSPF-A,50,3,mse,0.0359728,0.00224354,0.306884,0.783173,0.193507,0.990917,0.534237,0.490405,0.913927,34.6201
WSPF-A,100,3,mse,0.0359118,0.00282203,0.265169,0.799119,0.142347,1.28283,0.50608,0.485161,0.959361,79.4126
WSPF-A,200,3,mse,0.0299565,0.00248328,0.249584,0.824616,0.0963958,1.70471,0.503766,0.4896,0.972146,149.212
WSPF-A,400,3,mse,0.0263614,0.00199887,0.23792,0.844544,0.0655218,2.20809,0.502256,0.492177,0.979909,320.895
WSPF-B,25,3,mse,0.0318882,0.00388462,0.492276,0.820045,0.191169,0.927603,0.727726,0.479129,0.522374,9.8596
WSPF-B,50,3,mse,0.0310597,0.00233601,0.457058,0.834407,0.129193,1.15076,0.690406,0.475981,0.590411,26.2803
WSPF-B,100,3,mse,0.0265673,0.0014846,0.464342,0.866994,0.0735027,1.69111,0.707326,0.491655,0.575571,50.4433
WSPF-B,200,3,mse,0.0236545,0.000799965,0.47535,0.891089,0.0404225,2.44577,0.725408,0.50023,0.549315,86.3738
WSPF-B,400,3,mse,0.0219797,0.00103091,0.474963,0.904285,0.0227279,3.25224,0.727272,0.502695,0.548174,195.802
