method,zone,sigma_cd,mse_mean,mse_std,ess_over_N,resample_rate,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,1,0.001,0.0185792,0.000662682,0.731432,0.0253769,None,None,None,None,None,None,None,None,None,,
PF,1,0.005,0.0186754,0.000523961,0.67571,0.142211,None,None,None,None,None,None,None,None,None,,
PF,1,0.01,0.0233559,0.0012433,0.563167,0.384171,None,None,None,None,None,None,None,None,None,,
PF,1,0.025,0.149124,0.015593,0.16394,0.999749,None,None,None,None,None,None,None,None,None,,
PF,1,0.05,2.26949,0.71549,0.0145209,1,None,None,None,None,None,None,None,None,None,,
PF,1,0.1,13.807,3.4358,0.0104834,1,None,None,None,None,None,None,None,None,None,,
WSPF-A,1,0.001,0.0172358,0.000340049,0.0549318,1,0.0262746,0.0723959,0.178946,0.253362,0,0,,,0,0,0
WSPF-A,1,0.005,0.0216788,0.00092053,0.159441,0.984925,0.00213099,0.00629506,0.0176254,0.0484589,0,0,,,0,0,0
WSPF-A,1,0.01,0.0310826,0.00247935,0.27771,0.94799,0.00127758,0.00406033,0.0133394,0.0480093,0,0,,,0,0,0
WSPF-A,1,0.025,0.209497,0.0506513,0.132005,0.999246,0.00191268,0.00648765,0.0189121,0.0537047,0,0,,,0,0,0
WSPF-A,1,0.05,2.50645,0.621946,0.0140636,1,0.00927456,0.0274037,0.0651009,0.143171,0,0,,,0,0,0
WSPF-A,1,0.1,15.5242,4.78559,0.0103834,1,0.024932,0.0679045,0.145885,0.227371,0,0,,,0,0,0
WSPF-B,1,0.001,0.0190769,0.000528775,0.152759,0.925879,0.0897728,0.22444,0.407479,0.501524,0,0,0,0,0,,
WSPF-B,1,0.005,0.0195845,0.000741763,0.536632,0.433668,0.0054243,0.0149838,0.0362833,0.098939,0,0,0,0,0,,
WSPF-B,1,0.01,0.0252656,0.00209883,0.455488,0.585176,0.0033118,0.00993144,0.0266107,0.0838324,0,0,0,0,0,,
