method,class,precision,recall,f1,support
SGD,0,0.782538,0.731288,0.756045,11116
SGD,1,0.738202,0.710526,0.724100,11096
SGD,2,0.811848,0.861026,0.835714,11110
SGD,3,0.878830,0.919420,0.898667,11107
SGD,4,0.712091,0.704787,0.708420,11114
SGD,5,0.707376,0.711959,0.709660,11113
PF,0,0.766927,0.723462,0.744561,11116
PF,1,0.725983,0.700793,0.713165,11096
PF,2,0.809970,0.848245,0.828666,11110
PF,3,0.871411,0.907266,0.888977,11107
PF,4,0.699693,0.697679,0.698684,11114
PF,5,0.690106,0.694142,0.692118,11113
WSPF-A,0,0.777425,0.727420,0.751592,11116
WSPF-A,1,0.738872,0.704578,0.721318,11096
WSPF-A,2,0.809669,0.857696,0.832991,11110
WSPF-A,3,0.876372,0.920321,0.897809,11107
WSPF-A,4,0.703259,0.706676,0.704964,11114
WSPF-A,5,0.707035,0.704490,0.705760,11113
WSPF-B,0,0.782225,0.726071,0.753103,11116
WSPF-B,1,0.731800,0.708453,0.719938,11096
WSPF-B,2,0.806389,0.856616,0.830744,11110
WSPF-B,3,0.878329,0.914468,0.896035,11107
WSPF-B,4,0.706316,0.698308,0.702289,11114
WSPF-B,5,0.700854,0.708989,0.704898,11113

method,pooled_macro_f1,window_avg_macro_f1,balanced_acc,micro_acc,window_avg_acc
SGD,0.772101,0.499401,0.773168,0.773164,0.773164
PF,0.761029,0.491599,0.761931,0.761927,0.761927
WSPF-A,0.769072,0.496507,0.770197,0.770193,0.770193
WSPF-B,0.767834,0.495838,0.768818,0.768813,0.768813
