seed,method,accuracy,macro_f1,loglik
0,NoChange,0.278069,0.067759,-6.149100
0,SGD,0.774319,0.499459,-0.554875
0,PF,0.760277,0.492451,-0.598590
0,WSPF-A,0.767133,0.493392,-0.568050
0,WSPF-B,0.768423,0.495118,-0.569481
1,NoChange,0.278069,0.067759,-6.149100
1,SGD,0.773914,0.499079,-0.556436
1,PF,0.761522,0.492272,-0.596497
1,WSPF-A,0.767463,0.493328,-0.563606
1,WSPF-B,0.771258,0.496985,-0.570093
2,NoChange,0.278069,0.067759,-6.149100
2,SGD,0.771964,0.497333,-0.556749
2,PF,0.764942,0.495854,-0.591998
2,WSPF-A,0.769503,0.495546,-0.562887
2,WSPF-B,0.769068,0.495726,-0.572139
3,NoChange,0.278069,0.067759,-6.149100
3,SGD,0.773104,0.498781,-0.555054
3,PF,0.762212,0.491755,-0.594353
3,WSPF-A,0.770838,0.497176,-0.563542
3,WSPF-B,0.769893,0.496744,-0.566459
4,NoChange,0.278069,0.067759,-6.149100
4,SGD,0.773014,0.499221,-0.557405
4,PF,0.761537,0.492739,-0.599607
4,WSPF-A,0.769173,0.495783,-0.565259
4,WSPF-B,0.768843,0.496348,-0.571918
5,NoChange,0.278069,0.067759,-6.149100
5,SGD,0.774079,0.498717,-0.555086
5,PF,0.763937,0.495963,-0.596566
5,WSPF-A,0.769518,0.495472,-0.564191
5,WSPF-B,0.769158,0.495558,-0.563740
6,NoChange,0.278069,0.067759,-6.149100
6,SGD,0.772999,0.498915,-0.559019
6,PF,0.761222,0.494297,-0.598541
6,WSPF-A,0.769593,0.495794,-0.567500
6,WSPF-B,0.769473,0.497356,-0.569768
7,NoChange,0.278069,0.067759,-6.149100
7,SGD,0.773119,0.499275,-0.554703
7,PF,0.763217,0.494483,-0.597198
7,WSPF-A,0.767478,0.494216,-0.563391
7,WSPF-B,0.768813,0.497170,-0.567822
8,NoChange,0.278069,0.067759,-6.149100
8,SGD,0.773074,0.498903,-0.556746
8,PF,0.759617,0.490450,-0.605926
8,WSPF-A,0.766953,0.494729,-0.568098
8,WSPF-B,0.769473,0.496495,-0.565501
9,NoChange,0.278069,0.067759,-6.149100
9,SGD,0.773449,0.498366,-0.555435
9,PF,0.761837,0.492578,-0.598152
9,WSPF-A,0.769143,0.494381,-0.564098
9,WSPF-B,0.770193,0.497399,-0.564427
