method,N,zone,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p
SGD,100,None,performance,f1,0.499424,0.00102889,10,,,,
PH-SGD,100,None,performance,f1,0.48535,0.000903019,10,,,,
Window-SGD,100,None,performance,f1,0.498812,0.00122253,10,,,,
PF,100,None,performance,f1,0.498332,0.000975441,10,,,,
PF,100,None,diagnostic,ess_over_N,0.695194,0.00217126,10,,,,
PF,100,None,diagnostic,weight_entropy,4.39102,0.00166913,10,,,,
PF,100,None,diagnostic,max_weight,0.0383949,0.000379982,10,,,,
PF,100,None,diagnostic,particle_spread,3.77286,0.207554,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_all,0.962826,0.000961405,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_resampled,0.622722,0.00286035,10,,,,
PF,100,None,diagnostic,resample_rate,0.098533,0.00250537,10,,,,
WSPF-A,100,None,performance,f1,0.499969,0.000966177,10,,,,
WSPF-A,100,None,diagnostic,ess_over_N,0.0114706,6.74214e-05,10,,,,
WSPF-A,100,None,diagnostic,weight_entropy,0.145832,0.00587359,10,,,,
WSPF-A,100,None,diagnostic,max_weight,0.941878,0.00241127,10,,,,
WSPF-A,100,None,diagnostic,particle_spread,0.00138927,6.47567e-06,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_all,0.0157932,0.000174183,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_resampled,0.0157932,0.000174183,10,,,,
WSPF-A,100,None,diagnostic,resample_rate,1,0,10,,,,
WSPF-B,100,None,performance,f1,0.500186,0.00132926,10,,,,
WSPF-B,100,None,diagnostic,ess_over_N,0.0174607,0.000563643,10,,,,
WSPF-B,100,None,diagnostic,weight_entropy,0.233558,0.00841296,10,,,,
WSPF-B,100,None,diagnostic,max_weight,0.916137,0.00415201,10,,,,
WSPF-B,100,None,diagnostic,particle_spread,0.00146785,1.05865e-05,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_all,0.026045,0.000585593,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_resampled,0.0207297,0.000292184,10,,,,
WSPF-B,100,None,diagnostic,resample_rate,0.994572,0.000406192,10,,,,
WSPF-A_vs_PF,100,None,paired,f1_paired,,,,0.00163649,0.00161767,0.0108474,0.0195312
WSPF-B_vs_PF,100,None,paired,f1_paired,,,,0.00185366,0.00204814,0.0187191,0.0488281
