method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,25,None,f1,0.497683,0.00111861,0.713077,0.934876,0.111791,2.79828,0.971748,0.606112,0.0717359,5.49462
PF,50,None,f1,0.497507,0.00158465,0.703196,0.945853,0.0656991,3.2965,0.966601,0.616473,0.0870905,10.0686
PF,100,None,f1,0.498332,0.000975441,0.695194,0.953499,0.0383949,3.77286,0.962826,0.622722,0.098533,20.2976
PF,200,None,f1,0.497911,0.0014733,0.689908,0.959172,0.0222947,4.45241,0.957594,0.624908,0.113056,41.1465
PF,400,None,f1,0.498644,0.00129156,0.685176,0.963538,0.0127218,5.11191,0.953799,0.627187,0.123912,82.2857
WSPF-A,25,None,f1,0.498982,0.000916595,0.0443494,0.0340374,0.95569,0.00132221,0.0519276,0.0519276,1,20.9768
WSPF-A,50,None,f1,0.49944,0.000840685,0.022637,0.0334255,0.946863,0.0013669,0.028533,0.028533,1,44.066
WSPF-A,100,None,f1,0.499969,0.000966177,0.0114706,0.0316671,0.941878,0.00138927,0.0157932,0.0157932,1,84.5885
WSPF-A,200,None,f1,0.499808,0.000854309,0.00581164,0.0300407,0.937198,0.00140723,0.00877531,0.00877531,1,190.735
WSPF-A,400,None,f1,0.499912,0.00102559,0.00295163,0.0292879,0.930872,0.00142532,0.00495538,0.00495538,1,396.275
WSPF-B,25,None,f1,0.499282,0.00125304,0.051462,0.0546525,0.932586,0.00138492,0.0640274,0.0586414,0.994279,11.7788
WSPF-B,50,None,f1,0.500139,0.00117753,0.0289503,0.0521629,0.924614,0.00143467,0.039422,0.0341319,0.994523,24.1518
WSPF-B,100,None,f1,0.500186,0.00132926,0.0174607,0.0507165,0.916137,0.00146785,0.026045,0.0207297,0.994572,59.4808
WSPF-B,200,None,f1,0.499954,0.000777977,0.0118847,0.0501871,0.907329,0.00150137,0.0188015,0.0133009,0.994425,105.169
WSPF-B,400,None,f1,0.500269,0.0010281,0.00843293,0.0482805,0.902109,0.00151969,0.0142637,0.00907874,0.994768,240.185
