method,zone,sigma_cd,f1_mean,f1_std,ess_over_N,resample_rate,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,None,0.001,0.499859,0.00099312,0.743456,0.019511,None,None,None,None,None,None,None,None,None,,
PF,None,0.005,0.498332,0.000975441,0.695194,0.098533,None,None,None,None,None,None,None,None,None,,
PF,None,0.01,0.493337,0.00159062,0.638449,0.224499,None,None,None,None,None,None,None,None,None,,
PF,None,0.025,0.473232,0.00277497,0.483214,0.54132,None,None,None,None,None,None,None,None,None,,
PF,None,0.05,0.445332,0.00237011,0.2793,0.856577,None,None,None,None,None,None,None,None,None,,
PF,None,0.1,0.416733,0.00536517,0.099256,0.969878,None,None,None,None,None,None,None,None,None,,
PF,None,0.15,0.39895,0.0041557,0.0530742,0.983912,None,None,None,None,None,None,None,None,None,,
PF,None,0.2,0.394537,0.00608788,0.0347064,0.990709,None,None,None,None,None,None,None,None,None,,
WSPF-A,None,0.001,0.499969,0.000966177,0.0114706,1,0.950943,0.97326,0.983261,0.992339,0.849288,0.00117359,,,0,0,0
WSPF-A,None,0.005,0.495468,0.000960786,0.017912,1,0.448307,0.599269,0.709771,0.833164,0,0,,,0,0,0
WSPF-A,None,0.01,0.488512,0.00198142,0.025327,1,0.182741,0.28435,0.392193,0.584522,0,0,,,0,0,0
WSPF-A,None,0.025,0.466781,0.00186392,0.0468637,0.999071,0.0440492,0.0762766,0.123086,0.330376,0,0,,,0,0,0
WSPF-A,None,0.05,0.441132,0.00209109,0.0777904,0.996137,0.0169009,0.032386,0.0595618,0.2562,0,0,,,0,0,0
WSPF-A,None,0.1,0.422359,0.00333925,0.0940684,0.985721,0.0073479,0.0182506,0.0405701,0.242049,0,0,,,0,0,0
WSPF-A,None,0.15,0.408583,0.00414079,0.0563522,0.989242,0.004964,0.0146792,0.0357562,0.223281,0,0,,,0,0,0
WSPF-A,None,0.2,0.396316,0.00285651,0.0357346,0.993741,0.00395373,0.0141963,0.0386314,0.264801,0,0,,,0,0,0
WSPF-B,None,0.001,0.500186,0.00132926,0.0174607,0.994572,0.951612,0.973578,0.983619,0.991248,0.850539,0.00118924,0,0,0,,
WSPF-B,None,0.005,0.496751,0.00112415,0.0412925,0.974132,0.461932,0.615602,0.723777,0.833695,0,0,0,0,0,,
WSPF-B,None,0.01,0.48956,0.001346,0.0655893,0.962592,0.189971,0.300178,0.408234,0.599155,0,0,0,0,0,,
WSPF-B,None,0.025,0.467268,0.00281635,0.164443,0.937457,0.045972,0.08049,0.1306,0.329669,0,0,0,0,0,,
WSPF-B,None,0.05,0.442609,0.00345849,0.186345,0.938191,0.0176696,0.0344258,0.0621664,0.243805,0,0,0,0,0,,
WSPF-B,None,0.1,0.414428,0.00283565,0.0884415,0.979609,0.0084186,0.0201826,0.0440981,0.224712,0,0,0,0,0,,
WSPF-B,None,0.15,0.40056,0.00383782,0.0475192,0.989193,0.00576021,0.0169578,0.0432762,0.195242,0,0,0,0,0,,
WSPF-B,None,0.2,0.390865,0.00516893,0.0328389,0.991345,0.0049875,0.0173476,0.0452993,0.233066,0,0,0,0,0,,
