zone,method,mse_mean,mse_std,mae_mean,improve_vs_pf_pct,paired_t_p,wilcoxon_p
1,SGD,0.020924,0.000572,0.109158,,,
1,PF,0.020216,0.000513,0.106833,,,
1,WSPF-A,0.020892,0.000582,0.109130,-3.3448,0.0300923,0.0273438
1,WSPF-B,0.020963,0.000400,0.109544,-3.6934,0.00903136,0.00976562
2,SGD,0.023602,0.000636,0.115420,,,
2,PF,0.022799,0.000860,0.113326,,,
2,WSPF-A,0.023198,0.000805,0.114170,-1.7469,0.340801,0.431641
2,WSPF-B,0.023581,0.000717,0.115662,-3.4281,0.0716201,0.0644531
3,SGD,0.021842,0.000508,0.110541,,,
3,PF,0.021429,0.000307,0.109678,,,
3,WSPF-A,0.021965,0.000635,0.110810,-2.5026,0.0390211,0.0195312
3,WSPF-B,0.022109,0.000517,0.111727,-3.1740,0.000610712,0.00195312
