N,method,macro_f1,ess,ess_ratio,resample_freq,t_step_ms
25,PF,0.491329,16.710708,0.668428,0.156025,6.245290
25,WSPF-A,0.495847,1.527318,0.061093,1.000000,22.604379
25,WSPF-B,0.496107,2.049674,0.081987,0.970075,12.966357
50,PF,0.491937,32.628667,0.652573,0.198272,11.800932
50,WSPF-A,0.495500,1.673014,0.033460,1.000000,44.612102
50,WSPF-B,0.495384,2.779829,0.055597,0.971355,26.079995
100,PF,0.493525,63.701425,0.637014,0.223716,22.114965
100,WSPF-A,0.494089,1.804267,0.018043,1.000000,94.064068
100,WSPF-B,0.495943,4.187386,0.041874,0.973596,58.352521
200,PF,0.494858,125.127809,0.625639,0.247720,41.922026
200,WSPF-A,0.494819,1.937571,0.009688,1.000000,184.952694
200,WSPF-B,0.495030,6.692737,0.033464,0.975356,115.643606
400,PF,0.492333,247.218014,0.618045,0.271563,80.020934
400,WSPF-A,0.494390,2.094961,0.005237,1.000000,374.251552
400,WSPF-B,0.496599,12.320355,0.030801,0.973596,221.360678
