N,method,f1,ess,ess_ratio,resample_freq,t_step_ms
25,PF,0.627652,20.674429,0.826977,0.043210,1.857869
25,WSPF-A,0.683118,8.923798,0.356952,0.672840,6.551225
25,WSPF-B,0.675549,6.562820,0.262513,0.777778,3.596962
50,PF,0.556997,39.943919,0.798878,0.061728,3.047670
50,WSPF-A,0.677918,17.148809,0.342976,0.666667,13.540874
50,WSPF-B,0.669941,12.237005,0.244740,0.771605,7.347035
100,PF,0.602567,80.275297,0.802753,0.067901,5.867518
100,WSPF-A,0.680045,34.665021,0.346650,0.654321,43.382459
100,WSPF-B,0.690166,20.681067,0.206811,0.802469,30.654128
200,PF,0.581772,156.163813,0.780819,0.092593,11.267674
200,WSPF-A,0.682113,63.831613,0.319158,0.679012,82.793789
200,WSPF-B,0.679909,40.787879,0.203939,0.796296,57.927201
400,PF,0.547909,310.749314,0.776873,0.092593,22.228978
400,WSPF-A,0.674136,122.626120,0.306565,0.691358,178.887940
400,WSPF-B,0.671376,77.989041,0.194973,0.802469,112.283478
