N,method,mse,ess,ess_ratio,resample_freq,unique,t_step_ms
25,SGD,0.332621,,,,,
25,PF,0.339665,16.073003,0.642920,0.175778,22.832889,0.415206
25,WSPF-A,0.313532,7.936930,0.317477,0.826667,13.182667,1.561761
25,WSPF-B,0.311253,11.676075,0.467043,0.562222,18.213333,0.542422
50,SGD,0.332621,,,,,
50,PF,0.339024,31.288733,0.625775,0.192000,45.414000,0.584620
50,WSPF-A,0.310143,13.126026,0.262521,0.895333,24.508667,2.416959
50,WSPF-B,0.308358,23.018935,0.460379,0.578000,36.631111,0.725232
100,SGD,0.332621,,,,,
100,PF,0.337559,60.933161,0.609332,0.219111,89.454222,0.833954
100,WSPF-A,0.303072,23.052491,0.230525,0.942222,47.393778,3.967793
100,WSPF-B,0.308203,45.260817,0.452608,0.595778,73.098889,1.330633
200,SGD,0.332621,,,,,
200,PF,0.340413,122.095184,0.610476,0.225333,178.741556,1.247039
200,WSPF-A,0.298763,42.344292,0.211721,0.963556,95.659778,6.324578
200,WSPF-B,0.303359,88.002314,0.440012,0.623556,144.160000,2.085636
400,SGD,0.332621,,,,,
400,PF,0.351263,242.416864,0.606042,0.226444,357.527778,2.013033
400,WSPF-A,0.298801,75.287537,0.188219,0.983556,189.386667,10.961924
400,WSPF-B,0.304639,174.360400,0.435901,0.631333,287.942000,3.719781
