lag,f1_NoChange,f1_SGD,f1_PF,f1_WSPF-A,f1_WSPF-B,acc_NoChange,acc_SGD,acc_PF,acc_WSPF-A,acc_WSPF-B
-2,0.086650,0.306113,0.346870,0.357356,0.373225,0.359375,0.585938,0.601562,0.625000,0.625000
-1,0.036386,0.240875,0.243772,0.278203,0.307101,0.125000,0.351562,0.351562,0.375000,0.398438
0,0.028208,0.262843,0.260603,0.242387,0.270924,0.093750,0.367188,0.328125,0.328125,0.367188
1,0.051361,0.325488,0.305188,0.304561,0.316166,0.187500,0.429688,0.390625,0.406250,0.414062
2,0.052144,0.393717,0.381785,0.383349,0.388449,0.187500,0.468750,0.429688,0.429688,0.453125
3,0.066946,0.389105,0.410596,0.353309,0.395529,0.257812,0.492188,0.523438,0.484375,0.492188
4,0.062553,0.416946,0.420535,0.373375,0.465512,0.234375,0.523438,0.531250,0.492188,0.546875
5,0.051971,0.366961,0.430919,0.360658,0.340512,0.187500,0.507812,0.578125,0.500000,0.484375
6,0.053300,0.483632,0.470885,0.489676,0.451699,0.195312,0.617188,0.601562,0.632812,0.585938
7,0.060447,0.562651,0.491833,0.629243,0.591521,0.234375,0.695312,0.601562,0.718750,0.718750
8,0.050125,0.538560,0.486524,0.558786,0.527891,0.179688,0.695312,0.625000,0.648438,0.664062
9,0.054431,0.565502,0.532611,0.541928,0.512692,0.195312,0.710938,0.671875,0.679688,0.656250
10,0.033069,0.480388,0.481734,0.538552,0.499700,0.117188,0.648438,0.648438,0.687500,0.679688
11,0.063827,0.475660,0.536513,0.488674,0.487060,0.242188,0.632812,0.695312,0.640625,0.648438
12,0.061494,0.423891,0.426006,0.442416,0.409408,0.234375,0.570312,0.585938,0.578125,0.570312
13,0.053724,0.495067,0.452116,0.474170,0.531713,0.195312,0.617188,0.601562,0.609375,0.656250
14,0.055667,0.572510,0.554349,0.583558,0.618921,0.203125,0.726562,0.703125,0.742188,0.781250
15,0.050345,0.573022,0.578652,0.558931,0.625081,0.179688,0.703125,0.703125,0.695312,0.750000
16,0.048636,0.601042,0.554743,0.599368,0.616782,0.171875,0.687500,0.632812,0.679688,0.703125
17,0.041838,0.564139,0.609282,0.565747,0.588277,0.148438,0.695312,0.703125,0.695312,0.703125
18,0.061811,0.570881,0.630569,0.582465,0.600524,0.234375,0.703125,0.742188,0.710938,0.718750
19,0.055870,0.575563,0.630728,0.647270,0.570695,0.203125,0.695312,0.750000,0.750000,0.695312
