========================================================================
Switch-aligned recovery — INSECTS (旧 Fig. 5, multiclass)
  seeds pooled=1, all change_points=[14352, 19500, 33240, 38682, 39510]
  report-region switches (>= 19500): [np.int64(19500), np.int64(33240), np.int64(38682), np.int64(39510)]
  lag window: [-2, 20) steps (1 step = 16 samples)
========================================================================

  整合に使ったスイッチ (4): [19500, 33240, 38682, 39510]

  macro-F1 recovery (lag=スイッチ後ステップ, スイッチ平均):
  lag   NoChange       SGD        PF    WSPF-A    WSPF-B
   -2     0.0867    0.3061    0.3469    0.3574    0.3732
   -1     0.0364    0.2409    0.2438    0.2782    0.3071
    0     0.0282    0.2628    0.2606    0.2424    0.2709
    1     0.0514    0.3255    0.3052    0.3046    0.3162
    2     0.0521    0.3937    0.3818    0.3833    0.3884
    3     0.0669    0.3891    0.4106    0.3533    0.3955
    4     0.0626    0.4169    0.4205    0.3734    0.4655
    5     0.0520    0.3670    0.4309    0.3607    0.3405
    6     0.0533    0.4836    0.4709    0.4897    0.4517
    7     0.0604    0.5627    0.4918    0.6292    0.5915
    8     0.0501    0.5386    0.4865    0.5588    0.5279
    9     0.0544    0.5655    0.5326    0.5419    0.5127
   10     0.0331    0.4804    0.4817    0.5386    0.4997
   11     0.0638    0.4757    0.5365    0.4887    0.4871
   12     0.0615    0.4239    0.4260    0.4424    0.4094
   13     0.0537    0.4951    0.4521    0.4742    0.5317
   14     0.0557    0.5725    0.5543    0.5836    0.6189
   15     0.0503    0.5730    0.5787    0.5589    0.6251
   16     0.0486    0.6010    0.5547    0.5994    0.6168
   17     0.0418    0.5641    0.6093    0.5657    0.5883
   18     0.0618    0.5709    0.6306    0.5825    0.6005
   19     0.0559    0.5756    0.6307    0.6473    0.5707
