method,N,zone,t_step_ms,t_correction_ms,sample_grad_evals_per_step,stream_len,cumulative_runtime_s,section,peak_python_traced_mem_MB,static_ema_MB,static_particles_MB,static_deviations_MB,static_BxB_MB,static_solve_MB,static_total_MB
PF,25,None,0.637047,0.0317054,25,,,,,,,,,,
PF,50,None,0.930473,0.0458256,50,,,,,,,,,,
PF,100,None,1.50614,0.0735928,100,,,,,,,,,,
PF,200,None,2.60008,0.128089,200,,,,,,,,,,
PF,400,None,4.40832,0.236884,400,,,,,,,,,,
WSPF-A,25,None,1.449,0.845645,400,,,,,,,,,,
WSPF-A,50,None,2.23874,1.35379,800,,,,,,,,,,
WSPF-A,100,None,3.78653,2.35853,1600,,,,,,,,,,
WSPF-A,200,None,6.6903,4.20294,3200,,,,,,,,,,
WSPF-A,400,None,13.1331,8.77654,6400,,,,,,,,,,
WSPF-B,25,None,0.811171,0.201348,400,,,,,,,,,,
WSPF-B,50,None,1.15478,0.261492,800,,,,,,,,,,
WSPF-B,100,None,1.83099,0.385898,1600,,,,,,,,,,
WSPF-B,200,None,3.15341,0.64394,3200,,,,,,,,,,
WSPF-B,400,None,6.19346,1.86596,6400,,,,,,,,,,
PF,100,None,,,,all,0.758359,,,,,,,,
WSPF-A,100,None,,,,all,1.89093,,,,,,,,
WSPF-B,100,None,,,,all,0.914475,,,,,,,,
PF,100,None,,,,,,peak_mem,3.55642,,,,,,
WSPF-A,100,None,,,,,,peak_mem,3.6739,0.02,0.02,0.32,0.2048,0.32,0.8848
WSPF-B,100,None,,,,,,peak_mem,3.64511,,,,,,
