batch_size,phase,mean_abs_skew,mean_kurtosis,mean_maha2,expected_maha2,maha_ks_p,cond_number,effective_rank,top_eig_ratio,frac_reject_normal,median_normal_p,fisher_normal_p
8,stable,0.041161,0.573449,12.2304,25,0,1.74946e+09,1.74395,0.699784,0.52,0.0146136,1.90581e-152
8,post+0,0.0251833,0.393247,11.8142,25,0,1.56559e+09,1.97041,0.626234,0.52,0.0230601,6.74139e-82
8,post+5,0.0468926,0.302268,12.3171,25,0,1.57266e+09,1.96242,0.629065,0.44,0.165029,1.15232e-78
8,post+20,0.042373,0.339368,11.8288,25,0,1.56729e+09,1.96588,0.626916,0.44,0.0966332,1.84196e-64
8,post+0_oldθ,0.437608,0.470253,12.7214,25,0,1.72579e+09,1.77448,0.690314,0.92,1.071e-11,0
8,post+5_oldθ,0.493743,0.674117,12.5003,25,0,1.75081e+09,1.74954,0.700323,0.92,9.93139e-14,0
8,post+20_oldθ,0.488892,0.421708,12.4772,25,0,1.75149e+09,1.74676,0.700598,1,5.83658e-16,0
16,stable,0.0505205,0.490849,12.3298,25,0,1.74762e+09,1.74503,0.699048,0.84,0.0157089,6.98455e-104
16,post+0,0.0621297,0.231006,12.018,25,0,1.5715e+09,1.96428,0.6286,0.56,0.0468587,5.13776e-32
16,post+5,0.0418969,0.253882,11.8566,25,0,1.57078e+09,1.9671,0.628312,0.36,0.399374,2.14312e-50
16,post+20,0.0777481,0.38839,12.0396,25,0,1.55427e+09,1.97856,0.621709,0.8,0.00208993,4.10561e-76
16,post+0_oldθ,0.347678,0.253275,12.6708,25,0,1.68638e+09,1.81441,0.674552,0.84,2.52813e-06,0
16,post+5_oldθ,0.343079,0.271253,12.6418,25,0,1.71236e+09,1.78814,0.684945,0.88,7.58011e-09,0
16,post+20_oldθ,0.314034,0.191342,12.591,25,0,1.73952e+09,1.7599,0.695808,0.92,2.77575e-07,0
32,stable,0.0635595,0.241648,12.1441,25,0,1.7249e+09,1.76814,0.68996,0.4,0.143081,2.14546e-48
32,post+0,0.0416549,0.0180495,12.1077,25,0,1.55554e+09,1.98565,0.622217,0.08,0.259744,2.05751e-07
32,post+5,0.0773568,0.163266,12.2233,25,0,1.55288e+09,1.98579,0.621152,0.32,0.0899775,1.02798e-23
32,post+20,0.0380095,0.0645188,12.1819,25,0,1.56049e+09,1.97623,0.624197,0.12,0.374672,0.00125531
32,post+0_oldθ,0.206683,0.102917,12.8509,25,0,1.73078e+09,1.77035,0.69231,0.72,0.00102397,3.19897e-155
32,post+5_oldθ,0.215357,0.193886,12.6659,25,0,1.69922e+09,1.80125,0.679687,0.52,0.0356172,3.27808e-242
32,post+20_oldθ,0.266229,0.176289,12.9224,25,0,1.72642e+09,1.77372,0.69057,0.84,2.79747e-06,6.00635e-277
64,stable,0.0299163,0.164476,12.3682,25,0,1.72861e+09,1.76504,0.691443,0.2,0.419625,3.37017e-17
64,post+0,0.0298836,-0.0427713,11.9908,25,0,1.56142e+09,1.97392,0.62457,0.04,0.325237,0.109842
64,post+5,0.0306995,0.0981425,12.0388,25,0,1.59454e+09,1.94212,0.637817,0.04,0.447931,0.198688
64,post+20,0.0273803,0.0144557,12.0661,25,0,1.5874e+09,1.95325,0.634962,0,0.792679,0.992219
64,post+0_oldθ,0.173235,0.103049,13.2409,25,0,1.70127e+09,1.79964,0.680508,0.64,0.00334575,2.89087e-115
64,post+5_oldθ,0.183116,0.0663287,12.9615,25,0,1.70422e+09,1.79607,0.681688,0.76,0.00158372,2.26669e-110
64,post+20_oldθ,0.134057,0.0572158,12.7572,25,0,1.70732e+09,1.79398,0.682928,0.44,0.241249,3.45107e-79
