method,N,zone,kind,metric,mean,std,n_seeds,mean_difference,std_difference,paired_t_p,wilcoxon_p
SGD,100,None,performance,mse,0.389227,0.059533,10,,,,
PH-SGD,100,None,performance,mse,0.400027,0.0544073,10,,,,
Window-SGD,100,None,performance,mse,0.378892,0.0987266,10,,,,
PF,100,None,performance,mse,0.585496,0.368578,10,,,,
PF,100,None,diagnostic,ess_over_N,0.615609,0.0338886,10,,,,
PF,100,None,diagnostic,weight_entropy,4.20519,0.119982,10,,,,
PF,100,None,diagnostic,max_weight,0.0640506,0.021352,10,,,,
PF,100,None,diagnostic,particle_spread,0.109782,0.0734558,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_all,0.869556,0.0388252,10,,,,
PF,100,None,diagnostic,unique_ancestor_rate_resampled,0.507816,0.0583195,10,,,,
PF,100,None,diagnostic,resample_rate,0.26,0.0466772,10,,,,
WSPF-A,100,None,performance,mse,0.583574,0.347333,10,,,,
WSPF-A,100,None,diagnostic,ess_over_N,0.266035,0.0231981,10,,,,
WSPF-A,100,None,diagnostic,weight_entropy,3.57427,0.127344,10,,,,
WSPF-A,100,None,diagnostic,max_weight,0.199465,0.023658,10,,,,
WSPF-A,100,None,diagnostic,particle_spread,0.0265266,0.00491714,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_all,0.551213,0.0310191,10,,,,
WSPF-A,100,None,diagnostic,unique_ancestor_rate_resampled,0.485271,0.0255295,10,,,,
WSPF-A,100,None,diagnostic,resample_rate,0.871556,0.0363087,10,,,,
WSPF-B,100,None,performance,mse,0.620618,0.403645,10,,,,
WSPF-B,100,None,diagnostic,ess_over_N,0.572773,0.0347908,10,,,,
WSPF-B,100,None,diagnostic,weight_entropy,4.13673,0.137313,10,,,,
WSPF-B,100,None,diagnostic,max_weight,0.0807143,0.0247204,10,,,,
WSPF-B,100,None,diagnostic,particle_spread,0.0713276,0.0138141,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_all,0.83382,0.0414703,10,,,,
WSPF-B,100,None,diagnostic,unique_ancestor_rate_resampled,0.510728,0.0573877,10,,,,
WSPF-B,100,None,diagnostic,resample_rate,0.335333,0.051366,10,,,,
WSPF-A_vs_PF,100,None,paired,mse_paired,,,,-0.00192125,0.0596781,0.921143,0.921875
WSPF-B_vs_PF,100,None,paired,mse_paired,,,,0.0351227,0.0412526,0.0247002,0.0136719
