method,N,zone,metric,mean,std,ess_over_N,entropy_norm,max_weight,particle_spread,unique_ancestor_rate_all,unique_ancestor_rate_resampled,resample_rate,t_step_ms
PF,25,None,mse,0.364072,0.0800206,0.534555,0.852025,0.167048,0.987059,0.797529,0.522123,0.423556,0.662395
PF,50,None,mse,0.359373,0.0755035,0.523558,0.875112,0.103789,1.37192,0.78736,0.531623,0.453111,0.970577
PF,100,None,mse,0.356126,0.0757117,0.518006,0.892063,0.0642361,1.89474,0.783836,0.534176,0.463778,1.59804
PF,200,None,mse,0.354321,0.0740525,0.516283,0.905181,0.0409866,2.42457,0.783113,0.538807,0.47,2.84023
PF,400,None,mse,0.352905,0.0743075,0.507964,0.913479,0.0282215,2.96021,0.774768,0.540251,0.489556,5.7773
WSPF-A,25,None,mse,0.361763,0.0870186,0.486971,0.826218,0.192767,0.683855,0.736684,0.501508,0.528,1.4721
WSPF-A,50,None,mse,0.354806,0.0754339,0.453242,0.842804,0.129949,0.893691,0.704702,0.503446,0.594222,2.28168
WSPF-A,100,None,mse,0.351474,0.0765791,0.451421,0.867593,0.0814805,1.30673,0.709116,0.5119,0.595111,3.95512
WSPF-A,200,None,mse,0.350177,0.0725965,0.435715,0.878117,0.0560623,1.65076,0.690747,0.513672,0.634889,7.44119
WSPF-A,400,None,mse,0.347916,0.077413,0.440709,0.894322,0.0366527,2.49546,0.702176,0.51957,0.619111,16.2425
WSPF-B,25,None,mse,0.397779,0.101892,0.246852,0.615304,0.332761,1.01936,0.37816,0.368206,0.983778,0.833787
WSPF-B,50,None,mse,0.380761,0.0754606,0.237858,0.682817,0.212569,1.5847,0.381067,0.377784,0.994667,1.19249
WSPF-B,100,None,mse,0.375048,0.0879859,0.224025,0.722109,0.142028,2.37659,0.376618,0.375794,0.998667,1.96165
WSPF-B,200,None,mse,0.361481,0.0786475,0.232081,0.765427,0.0868328,3.9227,0.38829,0.387766,0.999111,3.63588
WSPF-B,400,None,mse,0.357031,0.067109,0.23094,0.790856,0.0568599,5.23906,0.389368,0.388702,0.998889,7.72896
