method,zone,sigma_cd,mse_mean,mse_std,ess_over_N,resample_rate,rho_q50,rho_q90,rho_q99,rho_max,P_rho_gt_0.9,P_rho_gt_0.99,clip_count,wspf_b_actual_clip_rate,nonfinite,rho_ge_0.999_count,wspf_a_rho_threshold_exceedance_rate
PF,None,0.001,0.725469,0.49654,0.748124,0.0693333,None,None,None,None,None,None,None,None,None,,
PF,None,0.005,0.644389,0.405033,0.672809,0.180889,None,None,None,None,None,None,None,None,None,,
PF,None,0.01,0.585496,0.368578,0.615609,0.26,None,None,None,None,None,None,None,None,None,,
PF,None,0.05,0.395348,0.12385,0.384606,0.726889,None,None,None,None,None,None,None,None,None,,
PF,None,0.1,0.374338,0.0898516,0.232989,0.997778,None,None,None,None,None,None,None,None,None,,
PF,None,0.15,0.36762,0.0654269,0.143954,1,None,None,None,None,None,None,None,None,None,,
PF,None,0.2,0.376767,0.0583428,0.0844882,1,None,None,None,None,None,None,None,None,None,,
WSPF-A,None,0.001,0.738604,0.513305,0.0656966,0.999778,0.912057,0.967988,0.984539,0.989136,0.622638,0.0258689,,,0,0,0
WSPF-A,None,0.005,0.658241,0.433708,0.143202,0.989778,0.297936,0.55973,0.770252,0.823552,0.000417778,0,,,0,0,0
WSPF-A,None,0.01,0.583574,0.347333,0.266035,0.871556,0.0968442,0.228568,0.481693,0.588134,0,0,,,0,0,0
WSPF-A,None,0.05,0.40359,0.136852,0.396951,0.703556,0.00381773,0.00733373,0.0302299,0.0730143,0,0,,,0,0,0
WSPF-A,None,0.1,0.37303,0.0817781,0.242,0.996667,0.000976594,0.00184911,0.00762961,0.0360991,0,0,,,0,0,0
WSPF-A,None,0.15,0.367024,0.060356,0.143259,1,0.000478825,0.000963895,0.00390413,0.0295445,0,0,,,0,0,0
WSPF-A,None,0.2,0.374196,0.0521389,0.0844364,1,0.000299197,0.000611909,0.00741066,0.0816161,0,0,,,0,0,0
WSPF-B,None,0.001,0.84488,0.563888,0.0332008,1,0.859998,0.949842,0.974241,0.981153,0.280127,0.00111111,0,0,0,,
WSPF-B,None,0.005,0.761055,0.555406,0.401093,0.647333,0.210817,0.472862,0.671776,0.734249,0,0,0,0,0,,
WSPF-B,None,0.01,0.620618,0.403645,0.572773,0.335333,0.0631251,0.17495,0.368291,0.477355,0,0,0,0,0,,
WSPF-B,None,0.05,0.405386,0.149155,0.392298,0.707556,0.00371258,0.00724458,0.031649,0.0861483,0,0,0,0,0,,
WSPF-B,None,0.1,0.37172,0.0841534,0.241264,0.998667,0.000954135,0.00180379,0.00662,0.020527,0,0,0,0,0,,
WSPF-B,None,0.15,0.367386,0.0561716,0.137558,1,0.000468823,0.000881399,0.00371389,0.0429926,0,0,0,0,0,,
WSPF-B,None,0.2,0.371059,0.0465222,0.0931647,1,0.000291544,0.000615219,0.00387739,0.121266,0,0,0,0,0,,
