sigma_cd,seed,method,mse,mae,rho_mean,rho_max,ess_mean,resample_frac,nonfinite
0.001,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.001,0,PF,0.020941,0.109645,nan,nan,73.35620957982995,0.027707808564231738,0
0.001,0,WSPF-A,0.021302,0.110229,0.7525600974823375,0.9652411710820848,2.4785120505168874,1.0,0
0.001,0,WSPF-B,0.020663,0.108650,0.758738821437077,0.9637932909907286,1.6592103177028403,1.0,0
0.001,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.001,1,PF,0.020018,0.106477,nan,nan,77.91688292011717,0.0327455919395466,0
0.001,1,WSPF-A,0.021014,0.108489,0.7457892225087387,0.963380947525588,2.543205310290309,1.0,0
0.001,1,WSPF-B,0.021265,0.110747,0.764405262453134,0.9710698106364909,1.572582032095289,1.0,0
0.001,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.001,2,PF,0.020230,0.106046,nan,nan,81.85423636425561,0.022670025188916875,0
0.001,2,WSPF-A,0.021022,0.109491,0.7594677146564014,0.9703249073014492,2.592768425928807,1.0,0
0.001,2,WSPF-B,0.021109,0.109596,0.7578617755850895,0.9699258147224716,1.6463703716396116,1.0,0
0.001,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.001,3,PF,0.019813,0.106236,nan,nan,72.75774391382002,0.02518891687657431,0
0.001,3,WSPF-A,0.020562,0.109448,0.7534650535624112,0.9617032643603453,2.6247127297024515,1.0,0
0.001,3,WSPF-B,0.020142,0.107213,0.7540949464513165,0.9668880098988328,1.642477461635848,1.0,0
0.001,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.001,4,PF,0.019658,0.104843,nan,nan,77.75752068171657,0.02518891687657431,0
0.001,4,WSPF-A,0.020278,0.107106,0.7444844045345946,0.9669964584356247,2.4285565995380214,1.0,0
0.001,4,WSPF-B,0.021620,0.111171,0.7584899440268009,0.9760641436514761,1.5737836063449717,1.0,0
0.001,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.001,5,PF,0.021101,0.109718,nan,nan,72.69887041259588,0.027707808564231738,0
0.001,5,WSPF-A,0.020315,0.107802,0.746889183256121,0.9674998985362174,2.5559751835953315,1.0,0
0.001,5,WSPF-B,0.021324,0.111045,0.7680720560022002,0.9620308359321037,1.6102524221084134,1.0,0
0.001,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.001,6,PF,0.020446,0.107381,nan,nan,78.87904755311958,0.0327455919395466,0
0.001,6,WSPF-A,0.020841,0.108979,0.7456304412490387,0.9628815873540771,2.3965386642269246,1.0,0
0.001,6,WSPF-B,0.020961,0.109596,0.7540304666579498,0.9660517839506326,1.5566509586912554,1.0,0
0.001,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.001,7,PF,0.019953,0.105353,nan,nan,71.62445623903882,0.027707808564231738,0
0.001,7,WSPF-A,0.020033,0.105948,0.747966217086229,0.9660788335049519,2.5548874341368037,1.0,0
0.001,7,WSPF-B,0.020801,0.109446,0.7557121261856294,0.969383084292976,1.6675001840042103,1.0,0
0.001,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.001,8,PF,0.019458,0.104220,nan,nan,73.57290934485663,0.022670025188916875,0
0.001,8,WSPF-A,0.021942,0.112241,0.7755557010338479,0.971560026667175,2.336173006495302,1.0,0
0.001,8,WSPF-B,0.021114,0.110062,0.7547065529565629,0.9599402696675701,1.6423699457376857,1.0,0
0.001,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.001,9,PF,0.020545,0.108414,nan,nan,76.02533547519016,0.03526448362720403,0
0.001,9,WSPF-A,0.021615,0.111569,0.7747316807701371,0.9645843986031484,2.461153776973211,1.0,0
0.001,9,WSPF-B,0.020631,0.107909,0.7587203629288249,0.967704605943367,1.6205616117239166,1.0,0
0.002,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.002,0,PF,0.020627,0.108835,nan,nan,79.11236553521442,0.04785894206549118,0
0.002,0,WSPF-A,0.021593,0.110950,0.4800453931731024,0.8805585006289093,3.603402310583832,1.0,0
0.002,0,WSPF-B,0.021059,0.110056,0.48867602921104447,0.8860687690203489,2.823631405891503,1.0,0
0.002,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.002,1,PF,0.019881,0.106183,nan,nan,73.47390229258582,0.04785894206549118,0
0.002,1,WSPF-A,0.021185,0.109031,0.4772728114008003,0.888602067549802,3.264191620472389,1.0,0
0.002,1,WSPF-B,0.021540,0.111613,0.49363523129104925,0.8677261447928515,2.7961995388531724,1.0,0
0.002,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.002,2,PF,0.021060,0.109937,nan,nan,72.77555254272366,0.055415617128463476,0
0.002,2,WSPF-A,0.021509,0.110200,0.48646705922012035,0.8984843680445006,3.4670062673139412,1.0,0
0.002,2,WSPF-B,0.021353,0.110436,0.48627909112143153,0.888838387404831,3.075162723295258,1.0,0
0.002,3,SGD,0.021864,0.112118,nan,nan,nan,nan,
0.002,3,PF,0.019727,0.106120,nan,nan,76.34508886667913,0.04785894206549118,0
0.002,3,WSPF-A,0.020679,0.109547,0.47628186668624045,0.875083514077429,3.774106878246841,1.0,0
0.002,3,WSPF-B,0.020505,0.108340,0.48186334672301456,0.8774349658314482,3.032810400553447,1.0,0
0.002,4,SGD,0.020864,0.109752,nan,nan,nan,nan,
0.002,4,PF,0.019598,0.104525,nan,nan,75.36820568300212,0.04030226700251889,0
0.002,4,WSPF-A,0.020826,0.109019,0.4766744996563866,0.8787007654191891,3.2113974132285756,1.0,0
0.002,4,WSPF-B,0.022094,0.112983,0.493858601432564,0.9022770648246162,2.8264069737889304,0.9974811083123426,0
0.002,5,SGD,0.021195,0.109692,nan,nan,nan,nan,
0.002,5,PF,0.020288,0.107031,nan,nan,74.75160415239048,0.05793450881612091,0
0.002,5,WSPF-A,0.021092,0.108873,0.4826721124590502,0.889833199756038,3.126080644413247,1.0,0
0.002,5,WSPF-B,0.022284,0.113862,0.5020528992977997,0.8736918462751937,2.7464735550749375,1.0,0
0.002,6,SGD,0.020934,0.108292,nan,nan,nan,nan,
0.002,6,PF,0.021050,0.108949,nan,nan,74.38924889922384,0.05793450881612091,0
0.002,6,WSPF-A,0.020527,0.107422,0.4687825099000359,0.8946629226326376,3.5432743287767687,1.0,0
0.002,6,WSPF-B,0.021766,0.111855,0.47985711682319987,0.8782053497661106,2.881257930856381,1.0,0
0.002,7,SGD,0.020970,0.109453,nan,nan,nan,nan,
0.002,7,PF,0.019658,0.105626,nan,nan,75.08920058554993,0.037783375314861464,0
0.002,7,WSPF-A,0.020030,0.106149,0.4691206511501439,0.8774914279841787,3.6275480587260294,1.0,0
0.002,7,WSPF-B,0.020895,0.109189,0.47920914059244984,0.8928363614128181,3.1686873516721348,0.9949622166246851,0
0.002,8,SGD,0.021054,0.109608,nan,nan,nan,nan,
0.002,8,PF,0.019179,0.103520,nan,nan,75.54317342743249,0.03526448362720403,0
0.002,8,WSPF-A,0.022821,0.115043,0.5188793293855308,0.9019255424846317,3.253618903517869,1.0,0
0.002,8,WSPF-B,0.021286,0.110406,0.4846685925672589,0.8708301063994878,2.9262134257449564,1.0,0
0.002,9,SGD,0.019956,0.105491,nan,nan,nan,nan,
0.002,9,PF,0.020468,0.107893,nan,nan,72.49647642206857,0.05037783375314862,0
0.002,9,WSPF-A,0.021843,0.112064,0.500314779618019,0.8698614793960561,3.273095977685254,1.0,0
0.002,9,WSPF-B,0.020977,0.108826,0.4862800341868299,0.8777924285160054,2.9348532370679634,1.0,0
0.005,0,SGD,0.021168,0.109653,nan,nan,nan,nan,
0.005,0,PF,0.020797,0.110156,nan,nan,72.06837890859819,0.11083123425692695,0
0.005,0,WSPF-A,0.023961,0.118691,0.18748329656503857,0.6016295132412893,4.227288834324237,1.0,0
0.005,0,WSPF-B,0.022363,0.113417,0.17481803962765172,0.5755695881071816,15.576811651724165,0.929471032745592,0
0.005,1,SGD,0.021363,0.111654,nan,nan,nan,nan,
0.005,1,PF,0.020171,0.107324,nan,nan,71.4906849605376,0.11838790931989925,0
0.005,1,WSPF-A,0.024480,0.119341,0.1925432193152628,0.6318905167378026,4.487318991688715,1.0,0
0.005,1,WSPF-B,0.023395,0.115740,0.17511501087082934,0.5775157061251027,16.654930798472666,0.9168765743073047,0
0.005,2,SGD,0.019872,0.105871,nan,nan,nan,nan,
0.005,2,PF,0.020548,0.108140,nan,nan,72.75137011870429,0.12342569269521411,0
0.005,2,WSPF-A,0.023930,0.118369,0.1923060502100479,0.6448812728598042,4.416416714380031,1.0,0
0.005,2,WSPF-B,0.021637,0.110993,0.17049557641964738,0.6595601674219929,17.94867312254934,0.9219143576826196,0
