========================================================================
σ_cd sensitivity sweep — GEFCom2014 Solar (R1-7 main figure)
  shared fixed HP: η=0.05, σ0=0.1, β=0.95, σ_obs=0.2927  [grid best_pf]
  ★matched 条件: WSPF-A own-best η=0.01 ではなく共通 best η=0.05 に統一 (A に不利側)★
  σ_cd grid = [0.001, 0.002, 0.005, 0.01, 0.025, 0.05, 0.1] (PF best=0.001, WSPF best≈0.005)
  zone=1, seeds=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9] (SGD は σ_cd 非依存の参照)
  改善符号: improvement over PF (%) = 100·(MSE_PF−MSE_alt)/MSE_PF, 正=改善
========================================================================
  workers=8, jobs=70
  elapsed 107s

  SGD 参照 (σ_cd 非依存): MSE = 0.02092±0.00057

========================================================================
  MSE vs σ_cd + improvement over PF (%) と対応検定
========================================================================
     σ_cd               PF           WSPF-A   impA%    pA(t)           WSPF-B   impB%    pB(t)
    0.001  0.02022±0.00051  0.02089±0.00058  -3.34   0.0301  0.02096±0.00040  -3.69  0.00903
    0.002  0.02015±0.00061  0.02121±0.00074  -5.24   0.0122  0.02138±0.00053  -6.07 0.000869
    0.005  0.02025±0.00039  0.02315±0.00087 -14.36 5.17e-06  0.02243±0.00058 -10.81  8.4e-06
    0.010  0.02367±0.00110  0.03117±0.00081 -31.69 3.65e-10  0.02776±0.00124 -17.29 5.89e-06
    0.025  0.04354±0.00576  0.05953±0.00714 -36.71 0.000134  0.05545±0.00548 -27.34  0.00156
    0.050  0.06975±0.00418  0.09730±0.01059 -39.49 4.53e-05  0.07859±0.00882 -12.67   0.0319
    0.100  0.18552±0.02453  0.17088±0.02039  +7.89     0.19  0.20100±0.03150  -8.34   0.0991

========================================================================
  ρ / ESS / resample vs σ_cd (WSPF, report region)
========================================================================
     σ_cd method     ρ_mean    ρ_max      ESS  resamp%  nonfin
    0.001 PF              -        -    75.64    2.80%       0
    0.001 WSPF-A     0.7547   0.9716     2.50  100.00%       0
    0.001 WSPF-B     0.7585   0.9761     1.62  100.00%       0
    0.002 PF              -        -    74.93    4.79%       0
    0.002 WSPF-A     0.4837   0.9019     3.41  100.00%       0
    0.002 WSPF-B     0.4876   0.9023     2.92   99.92%       0
    0.005 PF              -        -    72.09   11.84%       0
    0.005 WSPF-A     0.1812   0.6657     4.56  100.00%       0
    0.005 WSPF-B     0.1748   0.7686    16.40   92.87%       0
    0.010 PF              -        -    60.03   32.47%       0
    0.010 WSPF-A     0.0991   0.5454     4.89  100.00%       0
    0.010 WSPF-B     0.0868   0.5859    26.12   84.94%       0
    0.025 PF              -        -    24.03   91.18%       0
    0.025 WSPF-A     0.0575   0.4082     4.31  100.00%       0
    0.025 WSPF-B     0.0545   0.4744    13.63   97.58%       0
    0.050 PF              -        -    10.36  100.00%       0
    0.050 WSPF-A     0.0346   0.5539     5.17  100.00%       0
    0.050 WSPF-B     0.0302   0.4660     7.75  100.00%       0
    0.100 PF              -        -     3.77  100.00%       0
    0.100 WSPF-A     0.0203   0.4023     3.67  100.00%       0
    0.100 WSPF-B     0.0226   0.5606     3.47  100.00%       0
