sigma_cd,metric,method,value
0.005,mse,SGD,0.334738
0.005,mse,PF,0.334551
0.005,mse,WSPF-A,0.336991
0.005,mse,WSPF-B,0.334935
0.005,rho_mean,WSPF-A,0.928816
0.005,rho_clip_frac_pct,WSPF-A,0.000000
0.005,rho_mean,WSPF-B,0.930481
0.005,rho_clip_frac_pct,WSPF-B,0.000000
0.01,mse,SGD,0.334738
0.01,mse,PF,0.329191
0.01,mse,WSPF-A,0.329893
0.01,mse,WSPF-B,0.333045
0.01,rho_mean,WSPF-A,0.782931
0.01,rho_clip_frac_pct,WSPF-A,0.000000
0.01,rho_mean,WSPF-B,0.788719
0.01,rho_clip_frac_pct,WSPF-B,0.000000
0.025,mse,SGD,0.334738
0.025,mse,PF,0.316705
0.025,mse,WSPF-A,0.319186
0.025,mse,WSPF-B,0.316536
0.025,rho_mean,WSPF-A,0.440429
0.025,rho_clip_frac_pct,WSPF-A,0.000000
0.025,rho_mean,WSPF-B,0.403997
0.025,rho_clip_frac_pct,WSPF-B,0.000000
0.05,mse,SGD,0.334738
0.05,mse,PF,0.310798
0.05,mse,WSPF-A,0.305451
0.05,mse,WSPF-B,0.305094
0.05,rho_mean,WSPF-A,0.211703
0.05,rho_clip_frac_pct,WSPF-A,0.000000
0.05,rho_mean,WSPF-B,0.171437
0.05,rho_clip_frac_pct,WSPF-B,0.000000
0.075,mse,SGD,0.334738
0.075,mse,PF,0.315220
0.075,mse,WSPF-A,0.301919
0.075,mse,WSPF-B,0.310339
0.075,rho_mean,WSPF-A,0.125581
0.075,rho_clip_frac_pct,WSPF-A,0.000000
0.075,rho_mean,WSPF-B,0.105241
0.075,rho_clip_frac_pct,WSPF-B,0.000000
0.1,mse,SGD,0.334738
0.1,mse,PF,0.320755
0.1,mse,WSPF-A,0.305204
0.1,mse,WSPF-B,0.311369
0.1,rho_mean,WSPF-A,0.083723
0.1,rho_clip_frac_pct,WSPF-A,0.000000
0.1,rho_mean,WSPF-B,0.071761
0.1,rho_clip_frac_pct,WSPF-B,0.000000
0.15,mse,SGD,0.334738
0.15,mse,PF,0.333626
0.15,mse,WSPF-A,0.319280
0.15,mse,WSPF-B,0.326559
0.15,rho_mean,WSPF-A,0.051379
0.15,rho_clip_frac_pct,WSPF-A,0.000000
0.15,rho_mean,WSPF-B,0.043814
0.15,rho_clip_frac_pct,WSPF-B,0.000000
0.2,mse,SGD,0.334738
0.2,mse,PF,0.341073
0.2,mse,WSPF-A,0.330252
0.2,mse,WSPF-B,0.339436
0.2,rho_mean,WSPF-A,0.035296
0.2,rho_clip_frac_pct,WSPF-A,0.000000
0.2,rho_mean,WSPF-B,0.032677
0.2,rho_clip_frac_pct,WSPF-B,0.000000
0.3,mse,SGD,0.334738
0.3,mse,PF,0.395713
0.3,mse,WSPF-A,0.374053
0.3,mse,WSPF-B,0.378824
0.3,rho_mean,WSPF-A,0.026309
0.3,rho_clip_frac_pct,WSPF-A,0.000000
0.3,rho_mean,WSPF-B,0.023426
0.3,rho_clip_frac_pct,WSPF-B,0.000000
