sigma_obs,factor,metric,method,value
0.14635,0.5,mse,SGD,0.037471
0.14635,0.5,mse,PF,0.035521
0.14635,0.5,mse,WSPF-A,0.037761
0.14635,0.5,mse,WSPF-B,0.037477
0.14635,0.5,rho_mean,WSPF-A,0.983223
0.14635,0.5,rho_mean,WSPF-B,0.982964
0.20488,0.7,mse,SGD,0.029827
0.20488,0.7,mse,PF,0.028395
0.20488,0.7,mse,WSPF-A,0.029303
0.20488,0.7,mse,WSPF-B,0.029972
0.20488,0.7,rho_mean,WSPF-A,0.928005
0.20488,0.7,rho_mean,WSPF-B,0.928459
0.29269,1.0,mse,SGD,0.020801
0.29269,1.0,mse,PF,0.020395
0.29269,1.0,mse,WSPF-A,0.021112
0.29269,1.0,mse,WSPF-B,0.021012
0.29269,1.0,rho_mean,WSPF-A,0.752606
0.29269,1.0,rho_mean,WSPF-B,0.760338
0.40977,1.4,mse,SGD,0.018188
0.40977,1.4,mse,PF,0.034546
0.40977,1.4,mse,WSPF-A,0.017716
0.40977,1.4,mse,WSPF-B,0.018097
0.40977,1.4,rho_mean,WSPF-A,0.505095
0.40977,1.4,rho_mean,WSPF-B,0.511138
0.58538,2.0,mse,SGD,0.016762
0.58538,2.0,mse,PF,0.056611
0.58538,2.0,mse,WSPF-A,0.016732
0.58538,2.0,mse,WSPF-B,0.016635
0.58538,2.0,rho_mean,WSPF-A,0.249082
0.58538,2.0,rho_mean,WSPF-B,0.245131
